Financial year,Local authority name,Region,Carers of people in adult social care quality of life (Score (between 0 and 12)),Carers who found it easy to find information about services (Percentage),People in adult social care quality of life (Score (between -0.8 and 1.0)),People who use services who found it easy to find information (Percentage),"Requests resulting in a service (per 100,000 population)",Short term service provision (Percentage),Workforce turnover rate (Percentage),Council tax collection rates (in year) (Percentage),Council tax revenue per dwelling (GBP),Debt servicing as percentage of core spending power (Percentage),Level of band D council tax rates (GBP),Non-ringfenced reserves as percentage of net revenue expenditure (Percentage),Non-ringfenced reserves as percentage of service spend (Percentage),Nondomestic rates collection rates (in year) (Percentage),"Number of upheld complaints (per 100,000 population)",Social care spend as percentage of core spending power (Percentage),Total core spending power per dwelling (GBP),Total debt as percentage of core spending power (Percentage),Household waste recycling rate (Percentage),Recycling contamination rate (Percentage),Residual household waste (kg per household)
2016-17,rutland,East Midlands,7.9,79.5,0.427,85,2579,75.9,28.73509934,98.9,1654.62,12.98448478,1487.59,119.5082063,97.07708089,99.2,0,64.55263852,1823.09,540.1090158,59.3,3.5,508.7
2017-18,rutland,East Midlands,7.415964523,61.35920177,0.452,81.4,2176,83.2,28.73509934,98.9,1726.73,6.3,1546.94,45,42.9,98.9,2.5,51.8,1810.52,540.1090158,57.8,3.7,505.1
2018-19,rutland,East Midlands,8.1,78.3,0.488,84.2,2383,84.2,28.73509934,98.8,1832.92,5.6,1624.14,43.9,42.6,99.3,2.5,52,1829.38,63.4,56,4.2,505.5
2019-20,rutland,East Midlands,7.415964523,61.35920177,0.416,81.6,2510,86.5,28.73509934,98.9,1929.82,4.9,1705.18,39.9,38.2,99,2.5,54.7,1905.94,58.6,56.4,3.5,504.9
2020-21,rutland,East Midlands,7.415964523,61.35920177,0.402452128,71.01325167,2207,83.1,28.73509934,97.8,1999.48,4.7,1773.21,54.6,47.7,98.9,4.9,62.2,1988.69,56,52.3,3.8,545.1
2021-22,rutland,East Midlands,8,82.9,0.443,73.2,1933,83.8,34.8,97.9,2049.74,4.6,1826.23,70.6,61,98.8,4.8,59.8,2009,50.6,51.4,5.1,555.5
2015-16,salford,North West,7.415964523,61.35920177,0.402452128,74.2,2056,45,28.73509934,92,835.65,12.98448478,1326.31,119.5082063,97.07708089,92.2,2.4,64.55263852,1895.37,540.1090158,42.2,1.7,419.8
2016-17,salford,North West,7.8,70.6,0.351,74.3,2230,44.3,28.73509934,90.9,896.11,12.98448478,1376.05,119.5082063,97.07708089,92.7,3.2,64.55263852,1842.55,540.1090158,44.9,1.8,390.1
2017-18,salford,North West,7.415964523,61.35920177,0.368,74.8,2159,50.8,28.73509934,90,954.12,16.4,1444.71,39.1,51.7,91.6,2.8,43.8,1841.2,540.1090158,45.6,2.2,382.7
2018-19,salford,North West,7.7,72.5,0.372,71.7,2050,42.8,28.73509934,92.2,1017.21,26.3,1516.8,42.2,54.7,95.7,2.8,49.2,1849.58,285.6,46.6,2.7,364.2
2019-20,salford,North West,7.415964523,61.35920177,0.337,69.2,1418,47.8,28.73509934,92.2,1111.63,15.8,1577.32,46.8,57.6,97,4.6,49.4,1863.41,273.3,47,2,345.3
2020-21,salford,North West,7.415964523,61.35920177,0.402452128,71.01325167,1608,38.2,28.73509934,92.7,1161.89,14.4,1640.26,108.5,102,91.9,1.5,45.5,1969.08,273.4,47.2,5.3,379.2
2021-22,salford,North West,7.4,62.7,0.373,57.9,681,66.2,16.9,91.9,1153.18,14.4,1705.71,103.2,108.6,94.9,3.7,50,1956.4,243.7,47.9,4,358.7
2015-16,sandwell,West Midlands,7.415964523,61.35920177,0.402452128,83.4,2596,64.7,28.73509934,98.5,708.99,12.98448478,1175.73,119.5082063,97.07708089,96.8,3.4,64.55263852,2009.02,540.1090158,40.9,8.4,576
2016-17,sandwell,West Midlands,6.9,57.1,0.478,84.2,2452,60,28.73509934,98.2,751.3,12.98448478,1222.64,119.5082063,97.07708089,96.9,3.4,64.55263852,1925.08,540.1090158,41,8.7,566.8
2017-18,sandwell,West Midlands,7.415964523,61.35920177,0.456,77.1,2557,53.9,28.73509934,98.5,799.28,14.5,1283.64,38.1,34.8,98.9,3.4,58.7,1966.37,540.1090158,39.9,9.1,586.3
2018-19,sandwell,West Midlands,7.2,51.9,0.472,72.6,1709,60.6,28.73509934,98.6,848.99,14,1347.71,31.6,29.7,98.2,3.1,61.7,1980.74,273.5,35.8,9.4,623.5
2019-20,sandwell,West Midlands,7.415964523,61.35920177,0.456,75.9,1795,56.4,28.73509934,97.9,910.33,12.7,1401.48,29.7,25.9,97.4,4.6,67,2013.06,258.6,34.8,9.1,625.8
2020-21,sandwell,West Midlands,7.415964523,61.35920177,0.402452128,71.01325167,1825,41.1,28.73509934,97.4,945.16,11.2,1457.41,58.4,46.7,90.3,4,66.2,2119.39,250.9,30.6,12.7,648.9
2021-22,sandwell,West Midlands,6.9,49.4,0.432,66.1,1904,45.4,20.3,96.4,978.46,9.4,1500.98,72.3,59.5,94.9,5.9,70.9,2183,234.4,27.3,20,692.2
2015-16,sefton,North West,7.415964523,61.35920177,0.402452128,75.5,2827,76.7,28.73509934,96.2,990.48,12.98448478,1317.6,119.5082063,97.07708089,99.3,4.4,64.55263852,1730.79,540.1090158,39.5,1.3,515.9
2016-17,sefton,North West,6.8,57.4,0.418,70.8,2840,78,28.73509934,96.3,1053.58,12.98448478,1370.17,119.5082063,97.07708089,99.3,4.4,64.55263852,1680.94,540.1090158,37.8,6.4,535.3
2017-18,sefton,North West,7.415964523,61.35920177,0.452,72.1,2284,68.2,28.73509934,96.3,1113.34,3.5,1438.54,14.1,15.1,98.7,4.4,61.6,1717.6,540.1090158,36.9,9.4,540.7
2018-19,sefton,North West,7.2,60.8,0.404,70.4,2153,72.5,28.73509934,96,1190.91,3.7,1524.71,16,18.5,99.2,4,60.5,1763.55,100.3,35,15,555
2019-20,sefton,North West,7.415964523,61.35920177,0.42,66.2,2242,85.3,28.73509934,95.8,1265.62,3.8,1570.3,15.5,17.9,98.3,4.7,62.1,1786.57,93.7,33.7,17.4,573.6
2020-21,sefton,North West,7.415964523,61.35920177,0.402452128,71.01325167,1519,76.5,28.73509934,95,1325.71,5.1,1633.03,30,28.2,96.4,3.3,64.8,1893.17,91.2,34.8,16.6,627.8
2021-22,sefton,North West,7.6,47.1,0.385,65.3,1641,85,31,94.8,1352.59,5.1,1714.52,33,31.8,97.3,2.9,67.8,1933.36,85.2,33.2,17.4,614.9
2015-16,sheffield,Yorkshire and The Humber,7.415964523,61.35920177,0.402452128,66.7,2692,72.7,28.73509934,94.3,867.61,12.98448478,1308.28,119.5082063,97.07708089,97.8,3.7,64.55263852,1770.75,540.1090158,28.9,0.9,563.2
2016-17,sheffield,Yorkshire and The Humber,7.1,53.8,0.36,63,2174,37.2,28.73509934,94.4,911.83,12.98448478,1360.48,119.5082063,97.07708089,97.8,3.5,64.55263852,1693.04,540.1090158,29.6,0,553.6
2017-18,sheffield,Yorkshire and The Humber,7.415964523,61.35920177,0.355,69.5,1885,71.1,28.73509934,93.7,959.76,9,1428.36,27.1,22.4,97.9,3.8,53.4,1712.22,540.1090158,30.7,0,530.7
2018-19,sheffield,Yorkshire and The Humber,7,51.2,0.378,64.3,2187,30.2,28.73509934,93.1,1031.68,9.4,1513.92,55.9,44.3,97.5,3.8,57.5,1737.16,347.2,31,0.2,517.5
2019-20,sheffield,Yorkshire and The Humber,7.415964523,61.35920177,0.296,63.9,2757,51.1,28.73509934,92.8,1089.09,10.5,1559.18,58.7,47.2,98.3,5.8,60.3,1754.06,325.4,31.7,0,509.3
2020-21,sheffield,Yorkshire and The Humber,7.415964523,61.35920177,0.402452128,71.01325167,1896,39.6,28.73509934,90.1,1135.47,9.7,1621.4,63.5,47.4,92.8,2.9,69.2,1844.03,320,32.2,0,534.4
2021-22,sheffield,Yorkshire and The Humber,7.3,53.3,0.324,60.1,2092,48.1,32.8,90.9,1157.73,8.5,1702.31,68.1,48.2,96.8,2.7,72.4,1884.3,297.7,32.1,0.7,515
2015-16,shropshire,West Midlands,7.415964523,61.35920177,0.402452128,69.3,1386,81.3,28.73509934,98.4,1150.8,12.98448478,1164.72,119.5082063,97.07708089,99.1,4.8,64.55263852,1598.54,540.1090158,54.6,0.2,509.5
2016-17,shropshire,West Midlands,7.8,59.5,0.428,71.5,1495,73,28.73509934,98.4,1210.5,12.98448478,1211.19,119.5082063,97.07708089,98.8,3.5,64.55263852,1594.98,540.1090158,54.8,0.5,519.2
2017-18,shropshire,West Midlands,7.415964523,61.35920177,0.413,70.9,1705,58.9,28.73509934,98.4,1258.29,14.7,1259.51,32.3,30.8,98.9,2.5,56.8,1590.53,540.1090158,54.1,0.5,506.5
2018-19,shropshire,West Midlands,7.5,63.4,0.406,71.5,1177,67.6,28.73509934,98.2,1340.26,12.4,1334.96,37.5,36.8,98.8,6.2,57.8,1633.17,195.5,55.5,0.5,494.5
2019-20,shropshire,West Midlands,7.415964523,61.35920177,0.425,75.5,2193,70.9,28.73509934,98.1,1412.04,8.3,1388.23,25.4,23,98.8,3.4,60.9,1664.04,185,54.6,1.2,500.2
2020-21,shropshire,West Midlands,7.415964523,61.35920177,0.402452128,71.01325167,2382,76.4,28.73509934,97.7,1482.31,7.3,1443.62,30.7,20.8,98.7,2.5,65.8,1765.35,179.2,53.3,1.8,554.9
2021-22,shropshire,West Midlands,7.1,58.2,0.398,68,2415,76.5,28,98.1,1532.56,11.9,1501.22,30.8,25.1,98.6,2.5,67.8,1794.58,167.8,52.8,1.7,547.8
2015-16,slough,South East,7.415964523,61.35920177,0.402452128,74.3,1370,96,28.73509934,96.5,1061.02,12.98448478,1173.27,119.5082063,97.07708089,97.1,5.5,64.55263852,1928.84,540.1090158,26.8,2.7,761.1
2016-17,slough,South East,6.9,60.4,0.397,74.5,1124,88,28.73509934,96.8,1125.14,12.98448478,1217.21,119.5082063,97.07708089,97.5,4.7,64.55263852,1862.75,540.1090158,26.3,1.4,767.6
2017-18,slough,South East,7.415964523,61.35920177,0.39,73.6,1337,84.7,28.73509934,96.8,1188.18,10.8,1274.54,13,13.6,97.6,1.3,39.9,1879.21,540.1090158,23.9,2.5,767.4
2018-19,slough,South East,6.8,63.7,0.398,64.2,1010,63.1,28.73509934,96.5,1251.76,13.6,1331.89,13.5,14.8,97.3,3.4,39.3,1879.61,533.9,23.3,9.4,756.3
2019-20,slough,South East,7.415964523,61.35920177,0.388,59.5,1433,77.1,28.73509934,96.1,1316.34,5.5,1366.98,8.2,9.6,95.8,3.3,40.5,1883.67,630.6,24,6.5,732.6
2020-21,slough,South East,7.415964523,61.35920177,0.402452128,71.01325167,1629,79.6,28.73509934,92.7,1358.82,9.1,1419.47,21.6,18.8,90,0.7,40.3,1957.16,643.9,26.5,3.1,723.8
2021-22,slough,South East,6.1,41.8,0.433,64.2,1479,74.45255198,31.1,93.9,1350.3,9.9,1490.3,5.2,6.3,96.2,2.5,41.8,1931.82,737.1,26.7,2.9,699
2015-16,solihull,West Midlands,7.415964523,61.35920177,0.402452128,75.5,1413,58.8,28.73509934,98.5,1105.04,12.98448478,1173.72,119.5082063,97.07708089,96.9,4.7,64.55263852,1601.62,540.1090158,42.8,2.6,586.4
2016-17,solihull,West Midlands,6.8,54.4,0.413,76.8,1418,77.6,28.73509934,98.5,1147.4,12.98448478,1208.81,119.5082063,97.07708089,98.8,3.8,64.55263852,1548.92,540.1090158,42.4,2.9,592.5
2017-18,solihull,West Midlands,7.415964523,61.35920177,0.413,68.5,1334,85.6,28.73509934,98.1,1217.5,11.4,1269.13,35.1,34.8,98.9,1.4,63.9,1576.63,540.1090158,40.6,3.8,596.7
2018-19,solihull,West Midlands,7.2,67,0.416,74.4,1268,82.4,28.73509934,98.1,1281.8,11.8,1319.77,39.5,37.9,98.3,2.3,64.3,1586.54,266.6,37.8,4.3,609.4
2019-20,solihull,West Midlands,7.415964523,61.35920177,0.432,68,1093,86.1,28.73509934,97.8,1344.52,11.9,1358.04,42,38.2,98,2.3,69.1,1596.16,276.9,36.7,7.1,629.3
2020-21,solihull,West Midlands,7.415964523,61.35920177,0.402452128,71.01325167,1250,87.4,28.73509934,97.8,1401.53,12.4,1411,70.7,55.5,96.7,3.7,73.7,1678.63,272,37.7,7.2,634.3
2021-22,solihull,West Midlands,7,54.1,0.406,60,1264,89.7,27.8,97.9,1443.4,12.8,1460.24,66.4,54.3,97.2,5.1,79.7,1704.96,269.4,35.2,8.9,630.7
2015-16,south gloucestershire,South West,7.415964523,61.35920177,0.402452128,75.7,691,40.5,28.73509934,98.3,1229.6,12.98448478,1245.2,119.5082063,97.07708089,99.1,2.9,64.55263852,1645.5,540.1090158,47.7,12.4,557.6
2016-17,south gloucestershire,South West,7.7,75.5,0.41,75.8,1199,52.8,28.73509934,98.4,1299.92,12.98448478,1295,119.5082063,97.07708089,99.1,1.1,64.55263852,1625.85,540.1090158,49.2,9.8,528
2017-18,south gloucestershire,South West,7.415964523,61.35920177,0.404,70.2,1333,56.1,28.73509934,98.2,1357.11,4.6,1359.62,30.3,31.7,98.7,2.2,61.2,1613.62,540.1090158,51.6,4.1,484.2
2018-19,south gloucestershire,South West,7.3,68.8,0.386,72.2,1318,37.3,28.73509934,98.2,1445.3,5.4,1441.07,44,40.4,98.8,2.5,65.4,1624.75,114.5,57.8,4.8,407.8
2019-20,south gloucestershire,South West,7.415964523,61.35920177,0.379,67,1435,45.7,28.73509934,97.8,1516.85,5.6,1484.15,33.5,32.4,99.3,0.7,68.8,1629.64,125.5,59.1,1.8,396.8
2020-21,south gloucestershire,South West,7.415964523,61.35920177,0.402452128,71.01325167,1345,45.3,28.73509934,97.2,1590.92,3.8,1543.37,62.1,50,95.6,2.1,71.8,1721.35,129.8,58.5,2.5,427.2
2021-22,south gloucestershire,South West,7,62,0.383,63.4,1447,46.6,37.6,96.4,1668.37,3.6,1620.39,65.9,57,97.2,2.8,68.6,1765.74,127.4,59.9,1.5,402.3
2015-16,south tyneside,North East,7.415964523,61.35920177,0.402452128,70,3198,55.7,28.73509934,95.9,776.2,12.98448478,1316.71,119.5082063,97.07708089,99,4,64.55263852,1923.42,540.1090158,37,6.5,604.3
2016-17,south tyneside,North East,7.4,67.1,0.416,72.2,3496,46.2,28.73509934,96,814.08,12.98448478,1368.72,119.5082063,97.07708089,98.2,8,64.55263852,1836.17,540.1090158,34.7,6.2,626.4
2017-18,south tyneside,North East,7.415964523,61.35920177,0.418,79.3,3181,35.1,28.73509934,95.6,866.18,25.1,1436.47,25,24.5,99.4,4.7,56.6,1877.01,540.1090158,28.9,7.4,647.6
2018-19,south tyneside,North East,7.1,63.8,0.417,74.8,5019,73.1,28.73509934,95.1,918.85,23.4,1507.58,31.8,29.6,99.4,4,55.9,1902.46,551.8,30.7,6,633.9
2019-20,south tyneside,North East,7.415964523,61.35920177,0.436,69.4,5343,91.5,28.73509934,95,973.04,21.2,1567.13,28.2,26.6,98.8,4,61,1922.98,527.8,32,2.5,630.6
2020-21,south tyneside,North East,7.415964523,61.35920177,0.402452128,71.01325167,5278,87.9,28.73509934,92.9,1014.37,22.3,1629.03,52.3,42.5,96.9,2,61,2032.89,514.3,30.8,6,703.8
2021-22,south tyneside,North East,6.8,63.8,0.436,61.5,6145,47.7,32.3,93,1045.01,18.7,1693.38,47.3,36.9,97,4.1,63.6,2094.62,478.1,32.4,7.4,624.8
2015-16,southampton,South East,7.415964523,61.35920177,0.402452128,95.4,1475,83.5,28.73509934,95.2,905.77,12.98448478,1313.55,119.5082063,97.07708089,98.9,2.8,64.55263852,1694.53,540.1090158,27.2,9.2,690.4
2016-17,southampton,South East,7.6,57.5,0.394,73.5,1122,78.1,28.73509934,95.3,960.69,12.98448478,1339.82,119.5082063,97.07708089,97.3,2,64.55263852,1610.44,540.1090158,28.2,7.5,648.4
2017-18,southampton,South East,7.415964523,61.35920177,0.415,74.2,839,78.6,28.73509934,95,1037.92,2.8,1406.68,58.8,51.9,97.1,2.8,61.2,1654.77,540.1090158,29.5,11.4,600.6
2018-19,southampton,South East,7,58.7,0.388,60.8,1448,79,28.73509934,94.9,1114.77,4.4,1490.94,54.4,46.9,97.7,6.7,67.7,1688.08,269.2,29.3,16,584.1
2019-20,southampton,South East,7.415964523,61.35920177,0.407,63.9,1327,79.4,28.73509934,94.4,1152.06,5.1,1535.52,49.6,43.5,97.6,2.8,73,1685.67,263.6,29.3,15.5,566.7
2020-21,southampton,South East,7.415964523,61.35920177,0.402452128,71.01325167,1303,83.3,28.73509934,92.9,1182.68,5.1,1566.18,63.5,45.2,93.9,3.2,78.6,1757.97,257.4,27.5,16.6,587.2
2021-22,southampton,South East,7.5,63.4,0.383,64.5,1399,84.7,31.5,92.7,1214.45,5.1,1644.39,45.5,34.4,96,1.2,85.5,1782.69,241.8,27.7,17.3,589.9
2015-16,southend-on-sea,East of England,7.415964523,61.35920177,0.402452128,73.5,1119,70.1,28.73509934,97.2,961.19,12.98448478,1159.56,119.5082063,97.07708089,97.8,3.9,64.55263852,1596.21,540.1090158,45.7,4.3,510.3
2016-17,southend-on-sea,East of England,8.2,66.5,0.413,77.9,1319,82,28.73509934,97.5,1015.75,12.98448478,1205.82,119.5082063,97.07708089,98,4.4,64.55263852,1542.1,540.1090158,46,7.8,513.3
2017-18,southend-on-sea,East of England,7.415964523,61.35920177,0.412,77.2,1521,78.7,28.73509934,97.5,1080.23,9.6,1265.94,56.8,57.8,98.6,3.3,54.5,1573.38,540.1090158,47.1,8.4,467
2018-19,southend-on-sea,East of England,8.1,69.8,0.398,80.7,3803,60,28.73509934,97.3,1134.64,9.9,1322.82,67.8,64.9,98.2,2.2,59.6,1588.25,268.3,48.3,6.9,478.6
2019-20,southend-on-sea,East of England,7.415964523,61.35920177,0.384,70.2,3382,58.1,28.73509934,97.4,1204.03,13,1382.22,56.8,54.1,98.3,3.8,64.4,1632.29,263.2,46.8,8.8,498.1
2020-21,southend-on-sea,East of England,7.415964523,61.35920177,0.402452128,71.01325167,2454,56.5,28.73509934,96.7,1252.55,15.5,1437.39,74,59,90.6,2.7,66,1714.39,271.3,43.7,6.3,538.5
2021-22,southend-on-sea,East of England,8.2,52.6,0.392,71.6,2861,53.1,37.7,97.4,1295.04,15.8,1494.72,52.4,44.3,97.3,3.9,60.8,1769.78,271,43,6.3,540
2015-16,southwark,London,7.415964523,61.35920177,0.402452128,73,872,51.3,28.73509934,95.2,830.98,12.98448478,912.14,119.5082063,97.07708089,99.5,7.1,64.55263852,2183.02,540.1090158,35,4.2,558.7
2016-17,southwark,London,7.7,58.5,0.353,66.3,1563,70.3,28.73509934,95.9,852.84,12.98448478,930.38,119.5082063,97.07708089,99.3,7.4,64.55263852,2084.36,540.1090158,34,6.2,557.2
2017-18,southwark,London,7.415964523,61.35920177,0.368,67.5,1395,74.5,28.73509934,95.5,923.84,1.7,976.8,31.3,29.2,99.4,8.6,56.4,2069.62,540.1090158,34.7,5.6,519.5
2018-19,southwark,London,6.8,53.4,0.301,54.2,1113,61.6,28.73509934,95.9,1006.37,5,1035.31,47.4,43.8,99.4,7.6,58.7,2075.02,338.6,35.2,5.2,512
2019-20,southwark,London,7.415964523,61.35920177,0.379,61.1,970,70.7,28.73509934,95.4,1055.82,6.5,1066.27,54.5,47.9,99.7,7.5,62.2,2077.18,341.8,35.1,5,507
2020-21,southwark,London,7.415964523,61.35920177,0.402452128,71.01325167,909,60.2,28.73509934,92.9,1110.22,6.6,1108.81,51.4,42.9,94.1,5.3,60.8,2209.79,378.5,32.5,7.8,529.1
2021-22,southwark,London,7,52.1,0.385,57.3,1013,54.1,23,91.9,1166.83,7.5,1164.14,60.7,50.1,99,8.2,61.5,2224.08,393.9,35.7,8.2,498.2
2015-16,st. helens,North West,7.415964523,61.35920177,0.402452128,82.1,5933,86.2,28.73509934,95.3,871.7,12.98448478,1213.35,119.5082063,97.07708089,95.8,2.3,64.55263852,1717.41,540.1090158,39,0,516.7
2016-17,st. helens,North West,7.5,85.4,0.44,79.7,4426,76.2,28.73509934,95.6,918.02,12.98448478,1261.76,119.5082063,97.07708089,96.2,5.6,64.55263852,1651.77,540.1090158,38.9,0,522.6
2017-18,st. helens,North West,7.415964523,61.35920177,0.416,80.2,4019,76.7,28.73509934,95.5,972.51,4.9,1324.72,36.4,38.6,96.7,4.5,61,1698.55,540.1090158,35.9,0.5,504.8
2018-19,st. helens,North West,7.5,75.1,0.421,60.2,3769,78.2,28.73509934,95.2,1040.9,5.5,1404.07,39.6,42.9,96.1,2.8,63.3,1728.89,122,35.4,0.3,503.1
2019-20,st. helens,North West,7.415964523,61.35920177,0.405,73,4203,90.8,28.73509934,94.8,1106.51,3.9,1446.05,24.4,27.1,95,3.3,69.9,1738.72,115.4,37.4,0.1,482.3
2020-21,st. helens,North West,7.415964523,61.35920177,0.402452128,71.01325167,3377,86.4,28.73509934,93.7,1163.2,3.6,1503.75,51.7,50,92.3,2.2,67.7,1840.4,109.6,31.4,1.1,584.1
2021-22,st. helens,North West,7.1,60.2,0.425,63.1,3660,77.9,32.6,94.1,1205.72,4.8,1578.78,46.4,41.5,95.4,6,71.6,1891.45,108.6,36.8,0.7,507.6
2015-16,stockport,North West,7.415964523,61.35920177,0.402452128,74.4,2187,80.3,28.73509934,96.8,1150.24,12.98448478,1397.05,119.5082063,97.07708089,96,1.4,64.55263852,1676.8,540.1090158,59.4,2.6,330.5
2016-17,stockport,North West,7.7,65.9,0.385,72.9,1866,78.7,28.73509934,96.9,1203.98,12.98448478,1449.44,119.5082063,97.07708089,96.7,4.1,64.55263852,1628.82,540.1090158,59,2.7,334.8
2017-18,stockport,North West,7.415964523,61.35920177,0.385,72.4,1797,85.2,28.73509934,97,1282.59,7.3,1521.77,37.5,47.6,97.5,3.8,55,1667.17,540.1090158,57.5,3.3,337.2
2018-19,stockport,North West,7.2,60.3,0.406,66.8,1730,85.1,28.73509934,97.2,1358.88,11.5,1597.71,33.7,41.6,97.5,3.4,59.3,1680.93,318.1,58.3,3.6,317
2019-20,stockport,North West,7.415964523,61.35920177,0.386,68.5,1868,84.9,28.73509934,97.1,1434.05,12.1,1641.65,32.4,38.3,97.5,3.4,62.7,1699.36,318.2,58.5,3.3,319.9
2020-21,stockport,North West,7.415964523,61.35920177,0.402452128,71.01325167,2232,61.4,28.73509934,97.4,1491.7,12.1,1690.73,46.4,51.6,93.4,2,62,1781.59,330.7,55,5.4,362.6
2021-22,stockport,North West,6.8,56.4,0.409,64.5,1959,87.8,42.5,97.5,1531.81,11.9,1749.9,47.2,52.9,95.6,3,60.8,1822.06,317,60.3,1.5,314.7
2015-16,stockton-on-tees,North East,7.415964523,61.35920177,0.402452128,81.5,2800,77.6,28.73509934,96.5,1025.94,12.98448478,1337.6,119.5082063,97.07708089,98.7,6.1,64.55263852,1665.54,540.1090158,25.7,0,707.9
2016-17,stockton-on-tees,North East,7.9,73.1,0.423,80.6,2815,75.6,28.73509934,96.3,1081.25,12.98448478,1389.77,119.5082063,97.07708089,98.6,1.5,64.55263852,1609.28,540.1090158,25.8,0,719.6
2017-18,stockton-on-tees,North East,7.415964523,61.35920177,0.414,80.8,2888,85.3,28.73509934,95.8,1140.62,3.7,1457.87,47.2,47.9,99.5,2.5,65.4,1626.39,540.1090158,24.9,0,732
2018-19,stockton-on-tees,North East,7.4,71.6,0.403,77.1,2378,81.6,28.73509934,95.8,1217.8,3.4,1543.88,45.7,45.9,99.3,2.5,64.6,1648.34,92.8,26.4,0,702.1
2019-20,stockton-on-tees,North East,7.415964523,61.35920177,0.433,68,3042,87.1,28.73509934,95.2,1271.41,4,1588.65,29.9,30.9,99.5,3,67,1662.65,109.3,26.5,0,707.3
2020-21,stockton-on-tees,North East,7.415964523,61.35920177,0.402452128,71.01325167,2852,76.8,28.73509934,93.2,1330.62,4.5,1650.61,54.3,50,97.9,2,67.2,1757.71,111.3,24.3,0,783
2021-22,stockton-on-tees,North East,7.2,63.6,0.41,65.8,2860,82.8,22.6,94.4,1372.07,4.3,1714.98,45,41.6,98.2,2.5,69.1,1799.56,107.3,25.7,0,738
2015-16,stoke-on-trent,West Midlands,7.415964523,61.35920177,0.402452128,68.5,1130,64.9,28.73509934,94.6,753.86,12.98448478,1183.46,119.5082063,97.07708089,98.3,4.8,64.55263852,1756.93,540.1090158,36.1,0.6,616.2
2016-17,stoke-on-trent,West Midlands,7.7,57,0.437,73.4,967,88.4,28.73509934,95.5,763.84,12.98448478,1183.46,119.5082063,97.07708089,98,2.8,64.55263852,1654.25,540.1090158,34.8,8,601.2
2017-18,stoke-on-trent,West Midlands,7.415964523,61.35920177,0.414,73.5,929,64.4,28.73509934,95.7,808.33,10.9,1218.96,24.9,22.5,97.8,1.2,72,1677.62,540.1090158,34.9,6.9,575.2
2018-19,stoke-on-trent,West Midlands,7.2,52.4,0.442,67.7,857,54.9,28.73509934,95.5,856.09,11,1267.72,25.8,23.4,98.1,5.9,73.7,1700.14,320.6,36.3,4,569
2019-20,stoke-on-trent,West Midlands,7.415964523,61.35920177,0.468,67.9,2683,49.3,28.73509934,95.2,908.78,12.5,1305.62,22.9,20,97.7,3.5,78.9,1708.02,321.8,34.8,7.9,579.5
2020-21,stoke-on-trent,West Midlands,7.415964523,61.35920177,0.402452128,71.01325167,2002,45.9,28.73509934,95.2,961.57,12.5,1357.71,36.8,28.4,94.1,3.1,74.3,1826.46,332.9,31.7,12.9,614.8
2021-22,stoke-on-trent,West Midlands,8,45.2,0.407,64.8,1981,48.9,24.9,95.1,957.57,12.2,1425.46,46.6,35.2,96.7,4.7,73,1842.29,324.6,34.5,9,591.2
2015-16,sunderland,North East,7.415964523,61.35920177,0.402452128,74.5,2717,84,28.73509934,95.7,723.48,12.98448478,1185.96,119.5082063,97.07708089,97.2,2.9,64.55263852,1832.25,540.1090158,29.4,6.8,689.3
2016-17,sunderland,North East,7.9,65.2,0.443,77.3,2856,86.6,28.73509934,95.8,765.49,12.98448478,1233.28,119.5082063,97.07708089,97.5,6.5,64.55263852,1753.81,540.1090158,26.5,7,696.5
2017-18,sunderland,North East,7.415964523,61.35920177,0.455,81.9,2538,85.4,28.73509934,95.9,818.84,9.1,1294.82,63.7,67.3,97.9,2.5,58.6,1794.82,540.1090158,27.1,12.3,645.9
2018-19,sunderland,North East,7.6,64.9,0.452,71.3,3056,90.7,28.73509934,95.9,864.09,10,1359.43,58,60.7,97.9,2.9,60.1,1811.74,181.3,27.1,10.7,637.9
2019-20,sunderland,North East,7.415964523,61.35920177,0.462,70.6,3220,86.5,28.73509934,94.9,907.88,10.6,1413.68,61.9,61.7,97.7,2.5,62.2,1827.64,185.2,27.3,10.1,635.8
2020-21,sunderland,North East,7.415964523,61.35920177,0.402452128,71.01325167,2627,55.8,28.73509934,91.8,948.96,10.9,1470.09,65.2,63.7,91.9,0.4,63.6,1931.37,191.3,28.1,7.8,658.3
2021-22,sunderland,North East,7.2,55.9,0.437,66.2,3100,50.3,24.8,92.3,975.92,10.8,1543.44,80.9,71.7,96.1,2.9,60.6,1979.4,216,29.8,5.3,630.1
2015-16,sutton,London,7.415964523,61.35920177,0.402452128,79.1,2065,25,28.73509934,98.6,1266.67,12.98448478,1163.6,119.5082063,97.07708089,98.3,3.5,64.55263852,1870.36,540.1090158,34.7,4.3,602.8
2016-17,sutton,London,7.3,55.4,0.361,69,2183,54.9,28.73509934,98.6,1301.35,12.98448478,1210.03,119.5082063,97.07708089,98.9,3.5,64.55263852,1818.16,540.1090158,36.5,3.4,592
2017-18,sutton,London,7.415964523,61.35920177,0.387,67.5,1502,50.8,28.73509934,98.4,1357.49,2.8,1258.31,20.9,20,99.2,6.4,64.2,1792.38,540.1090158,50,2.3,434.2
2018-19,sutton,London,7.2,61.6,0.396,66.8,1539,64.4,28.73509934,98.3,1422.27,3,1308.52,18.3,17.3,98.7,4.4,64.3,1792.61,248.7,49.1,3.2,444.7
