Financial year,Local authority name,Region,Carers of people in adult social care quality of life (Score (between 0 and 12)),Carers who found it easy to find information about services (Percentage),People in adult social care quality of life (Score (between -0.8 and 1.0)),People who use services who found it easy to find information (Percentage),"Requests resulting in a service (per 100,000 population)",Short term service provision (Percentage),Workforce turnover rate (Percentage),Council tax collection rates (in year) (Percentage),Council tax revenue per dwelling (GBP),Debt servicing as percentage of core spending power (Percentage),Level of band D council tax rates (GBP),Non-ringfenced reserves as percentage of net revenue expenditure (Percentage),Non-ringfenced reserves as percentage of service spend (Percentage),Nondomestic rates collection rates (in year) (Percentage),"Number of upheld complaints (per 100,000 population)",Social care spend as percentage of core spending power (Percentage),Total core spending power per dwelling (GBP),Total debt as percentage of core spending power (Percentage),Household waste recycling rate (Percentage),Recycling contamination rate (Percentage),Residual household waste (kg per household)
2019-20,north tyneside,North East,7.415964523,61.35920177,0.417,76.4,2945,93.6,28.73509934,95,1110.25,13.4,1568.05,36.4,35.6,97.6,3.8,50,1698.11,350,36.9,4,544.2
2020-21,north tyneside,North East,7.415964523,61.35920177,0.402452128,71.01325167,2934,82.5,28.73509934,94.8,1172.37,14.1,1630.61,55.2,42.3,92.2,2.9,54.7,1820.41,333.3,36.2,4.4,593.8
2021-22,north tyneside,North East,7.4,61.3,0.4,59.9,5086,85.8,18,94.8,1204.51,9.6,1711.98,38.3,32.2,96,4.3,52.1,1856.76,299.2,35.2,4.6,583.4
2015-16,northumberland,North East,7.415964523,61.35920177,0.402452128,80.6,4586,89.5,28.73509934,97.8,1063.19,12.98448478,1427.63,119.5082063,97.07708089,98.1,3.5,64.55263852,1779.76,540.1090158,38.1,7.1,628.1
2016-17,northumberland,North East,8.5,72.1,0.414,79.9,5413,90.2,28.73509934,97.9,1113.94,12.98448478,1484.59,119.5082063,97.07708089,98.1,4.1,64.55263852,1731.02,540.1090158,37.7,7.1,625.7
2017-18,northumberland,North East,7.415964523,61.35920177,0.408,80.2,4915,90,28.73509934,98,1183.13,21.1,1558.1,54.7,63.4,98.1,2.8,46.7,1756.5,540.1090158,36.2,7.4,634.6
2018-19,northumberland,North East,8.4,75,0.386,77.8,5489,91.4,28.73509934,98.1,1251.75,15,1633.66,62,67.1,98.3,4.7,49.1,1785.97,340.1,35.9,7.6,638.4
2019-20,northumberland,North East,7.415964523,61.35920177,0.387,76.3,5439,91.5,28.73509934,97.6,1329.88,14.9,1695.73,57.3,61.1,97.7,2.8,50.6,1813.9,332.9,36,8.7,632.9
2020-21,northumberland,North East,7.415964523,61.35920177,0.402452128,71.01325167,5226,95.7,28.73509934,97,1391.31,14.7,1760.99,79.2,77.2,93.4,3.1,49.6,1914.45,336.3,33.4,10.5,676.9
2021-22,northumberland,North East,8.2,70.2,0.408,70.7,5254,97.2,40.9,97.4,1429.89,15.7,1823.78,78.4,79.9,95.7,4.7,51.9,1949.17,322.3,32,14.9,688.1
2015-16,nottingham,East Midlands,7.415964523,61.35920177,0.402452128,75.4,686,40.5,28.73509934,92.5,855.31,12.98448478,1459.67,119.5082063,97.07708089,97.6,4.1,64.55263852,1915.36,540.1090158,30.6,11,578.9
2016-17,nottingham,East Midlands,7.7,61.9,0.358,75.7,1610,58.4,28.73509934,93.1,894.97,12.98448478,1517.32,119.5082063,97.07708089,97.4,2.5,64.55263852,1824.01,540.1090158,29.8,13,588.8
2017-18,nottingham,East Midlands,7.415964523,61.35920177,0.392,69.8,1985,35,28.73509934,93.1,951.8,33.3,1593.03,59.8,47,98,1.2,71.1,1834.87,540.1090158,29.9,12.5,582
2018-19,nottingham,East Midlands,7.3,56.8,0.389,80.2,1778,69.4,28.73509934,93.2,1035.88,33.5,1688.45,60.4,48,97.3,5.4,72.3,1869.88,524.7,26.5,15.8,604.2
2019-20,nottingham,East Midlands,7.415964523,61.35920177,0.383,70.7,1999,55.5,28.73509934,93,1094.96,29.5,1738.93,50.5,38.9,97.4,3.6,72.2,1881.15,494.4,26.2,15.5,606.7
2020-21,nottingham,East Midlands,7.415964523,61.35920177,0.402452128,71.01325167,1876,45.3,28.73509934,93.7,1145.5,33.3,1808.31,53.4,39.9,84.8,0.9,72.3,1970.11,489.4,23.9,17.3,621.6
2021-22,nottingham,East Midlands,6.9,53.1,0.392,67,1934,50.7,22.9,93.1,1179.73,31.3,1898.55,67.7,38.4,89.8,4.1,70.6,2013,441.3,25.3,16,615.7
2015-16,oldham,North West,7.415964523,61.35920177,0.402452128,71,716,84.9,28.73509934,94.5,923.01,12.98448478,1392.95,119.5082063,97.07708089,96.5,2.2,64.55263852,1980.8,540.1090158,36.6,4.9,503.7
2016-17,oldham,North West,7.4,62.9,0.349,73.7,879,73.1,28.73509934,94.6,968.1,12.98448478,1444.48,119.5082063,97.07708089,97.1,4.3,64.55263852,1895.54,540.1090158,39.7,4.8,463.8
2017-18,oldham,North West,7.415964523,61.35920177,0.347,63.6,819,83.5,28.73509934,94.5,1009.04,16,1502.11,51.9,68.7,97.2,2.6,47.3,1916.94,540.1090158,42.1,5.5,426.7
2018-19,oldham,North West,7.2,55.4,0.401,69.6,1030,84.9,28.73509934,94.5,1066.47,12.7,1562.04,54.4,64.9,97.2,4.2,54.4,1926.19,258.2,40,10.6,443.4
2019-20,oldham,North West,7.415964523,61.35920177,0.395,64.6,958,83.6,28.73509934,94.1,1140.61,17.5,1624.36,43.9,51.8,96.2,3,59.2,1942.68,233.6,42.2,4.7,430.1
2020-21,oldham,North West,7.415964523,61.35920177,0.402452128,71.01325167,1917,71,28.73509934,93.3,1199.23,19.2,1672.92,76.7,77,90.5,4.2,51.3,2052.34,237.4,36.7,8.5,505.8
2021-22,oldham,North West,6.9,53.1,0.425,56.6,1087,89.6,34.6,94.2,1224.63,15.9,1722.94,55.6,56.3,95.6,5.4,60.5,2092.01,208.2,46.5,2.1,416.9
2015-16,peterborough,East of England,7.415964523,61.35920177,0.402452128,72.8,1246,74.9,28.73509934,94.9,914.16,12.98448478,1128.03,119.5082063,97.07708089,96.5,2.1,64.55263852,1707.66,540.1090158,44,3.7,566.9
2016-17,peterborough,East of England,7.8,64.6,0.42,78.6,1174,70.2,28.73509934,95.5,965.3,12.98448478,1173.04,119.5082063,97.07708089,97.4,1,64.55263852,1654.99,540.1090158,41.9,8.9,591.3
